NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"875,000",10/12/52,Bank of America N.A.,Buy,(0.100,CMBX.NA.AAA.1,"(21,109","42,109","21,000",0001317146,N-CSR,11
"3,150,000",10/12/52,Bank of America N.A.,Buy,(0.500,CMBX.NA.AM.1,"(123,480","252,000","128,520",0001317146,N-CSR,11
"200,000",6/20/14,Barclays Bank PLC,Buy,(1.000,Centex Corp.,"2,761","3,704","6,465",0001317146,N-CSR,11
"600,000",6/20/17,Barclays Bank PLC,Buy,(0.850,Sara Lee Corp.,"36,161",-,"36,161",0001317146,N-CSR,11
"775,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.","10,302",-,"10,302",0001317146,N-CSR,11
"245,798",7/25/45,Credit Suisse Securities LLC,Buy,(0.180,ABX.HE.AAA.06-1,"4,472","25,195","29,667",0001317146,N-CSR,11
"365,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(14,965","23,725","8,760",0001317146,N-CSR,11
"400,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(9,400","19,000","9,600",0001317146,N-CSR,11
"925,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(70,300","92,500","22,200",0001317146,N-CSR,11
"950,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(34,596","57,396","22,800",0001317146,N-CSR,11
"3,145,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(228,614","304,094","75,480",0001317146,N-CSR,11
"800,000",10/12/52,Goldman Sachs & Co.,Buy,(0.500,CMBX.NA.AM.1,"(25,360","58,000","32,640",0001317146,N-CSR,11
"800,000",10/12/52,Goldman Sachs & Co.,Buy,(0.500,CMBX.NA.AM.1,"(25,360","58,000","32,640",0001317146,N-CSR,11
"1,575,000",10/12/52,Goldman Sachs & Co.,Buy,(0.500,CMBX.NA.AM.1,"(49,927","114,188","64,261",0001317146,N-CSR,11
