Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate","Termination
  Date",CIK,Reporting Type,Report Year
Bank of America,Buy,240,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,170,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,225,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,90,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,130,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,180,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,190,1.18,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,165,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,330,1.57,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,440,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,280,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,500,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,150,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,430,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,355,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,610,1.18,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,310,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,545,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,440,0.72,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,1600,0.43,3/20/12,0000741375,N-CSRS,08
Credit Suisse,Buy,715,1,3/20/15,0000741375,N-CSRS,08
Goldman Sachs,Buy,560,3.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,1175,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,1300,0.22,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,625,0.6,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,1220,0.8,12/20/17,0000741375,N-CSRS,08
Goldman Sachs,Buy,305,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,245,0.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,385,0.47,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,850,0.15,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,1750,0.16,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,330,3.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,420,1.08,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,205,1.24,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,700,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,2600,0.1,3/20/12,0000741375,N-CSRS,08
"Eli Lilly Co., 6.57%, 1/1/16",Buy,470,0.33,3/20/13,0000741375,N-CSRS,08
"General Motors Acceptance Corp., 6.88%,
  8/28/12",Sell,1000,4.15,12/20/10,0000741375,N-CSRS,08
"Eli Lilly Co., 6.57%, 1/1/16",Buy,2040,0.3,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,50,1.57,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,70,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,45,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,65,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,25,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,65,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,55,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,220,1.19,3/20/12,0000741375,N-CSRS,08
Bank of America,Buy,75,1.25,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,45,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,85,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,50,0.72,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,225,0.43,3/20/12,0000741375,N-CSRS,08
Citigroup,Buy,430,0.43,3/20/12,0000741375,N-CSRS,08
Credit Suisse,Buy,110,1,3/20/15,0000741375,N-CSRS,08
Goldman Sachs,Buy,40,0.5,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,85,3.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,2600,0.12,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,1500,0.8,3/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Sell,2555,0.6,12/20/12,0000741375,N-CSRS,08
JPMorgan Chase,Buy,195,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,350,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,350,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,300,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,410,0.63,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1500,0.65,3/20/11,0000741375,N-CSRS,08
Lehman Brothers,Sell,1230,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Sell,600,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,390,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,280,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,1300,0.2,12/20/11,0000741375,N-CSRS,08
Merrill Lynch,Buy,330,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,275,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,225,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,440,0.92,3/20/18,0000741375,N-CSRS,08
UBS,Buy,965,0.3,3/20/13,0000741375,N-CSRS,08
UBS,Buy,270,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,270,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,310,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,270,1.01,3/20/13,0000741375,N-CSRS,08
UBS,Buy,615,1.06,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,55,4.95,3/20/13,0000741375,N-CSRS,08
Lehman Brothers,Sell,185,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Sell,85,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,1450,0.75,12/20/11,0000741375,N-CSRS,08
Lehman Brothers,Buy,65,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,45,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,175,0.2,12/20/11,0000741375,N-CSRS,08
Merrill Lynch,Buy,75,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,45,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,30,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,80,0.92,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,55,5,3/20/13,0000741375,N-CSRS,08
UBS,Buy,100,0.5,3/20/13,0000741375,N-CSRS,08
UBS,Buy,105,0.6,3/20/18,0000741375,N-CSRS,08
UBS,Buy,85,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,85,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,40,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,40,1.01,3/20/13,0000741375,N-CSRS,08
UBS,Buy,95,1.06,3/20/13,0000741375,N-CSRS,08
"Eli Lilly Co., 6.57%, 1/1/16",Buy,470,0.33,3/20/13,0000741375,N-CSRS,08
"General Motors Acceptance Corp., 6.88%,
  8/28/12",Sell,1000,4.15,12/20/10,0000741375,N-CSRS,08
"Eli Lilly Co., 6.57%, 1/1/16",Buy,2040,0.3,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,2755,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,2195,0.72,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,8000,0.43,03/20/12,0000741375,N-CSRS,08
Credit Suisse,Buy,3615,1,3/20/15,0000741375,N-CSRS,08
Goldman Sachs,Buy,1065,0.5,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,2840,3.05,11/1/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,1680,1.57,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,5960,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,6650,0.22,03/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,53000,0.75,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Sell,3140,0.6,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,6180,0.8,12/20/17,0000741375,N-CSRS,08
Goldman Sachs,Sell,31245,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,1600,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1195,0.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,1700,0.47,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,4240,0.15,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,8800,0.16,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,1660,3.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,2095,1.08,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1015,1.24,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,3050,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,13200,0.1,03/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,13000,0.12,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,7800,0.8,03/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Sell,13005,0.6,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,915,2.32,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1150,2.37,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1195,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,1000,0.8,3/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Buy,240,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,740,2.3,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,460,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,460,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,380,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,505,0.63,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1000,0.65,3/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Buy,415,4.95,3/20/13,0000741375,N-CSRS,08
Lehman Brothers,Buy,1150,0.18,7/25/45,0000741375,N-CSRS,08
Lehman Brothers,Buy,160,1.04,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,2140,1.4,3/20/13,0000741375,N-CSRS,08
Lehman Brothers,Buy,1305,0.64,3/20/13,0000741375,N-CSRS,08
Lehman Brothers,Sell,6138,3.75,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,475,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,340,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,830,2.15,3/20/13,0000741375,N-CSRS,08
Merrill Lynch,Buy,840,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,710,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,465,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Sell,2615,1.4,12/20/12,0000741375,N-CSRS,08
Merrill Lynch,Buy,530,0.92,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,1395,1.25,3/20/13,0000741375,N-CSRS,08
Merrill Lynch,Buy,415,5,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,55,4.95,3/20/13,0000741375,N-CSRS,08
Lehman Brothers,Sell,185,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Sell,85,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,1450,0.75,12/20/11,0000741375,N-CSRS,08
Lehman Brothers,Buy,65,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,45,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,175,0.2,12/20/11,0000741375,N-CSRS,08
Merrill Lynch,Buy,75,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,45,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,30,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,80,0.92,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,55,5,3/20/13,0000741375,N-CSRS,08
UBS,Buy,100,0.5,3/20/13,0000741375,N-CSRS,08
UBS,Buy,105,0.6,3/20/18,0000741375,N-CSRS,08
UBS,Buy,85,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,85,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,40,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,40,1.01,3/20/13,0000741375,N-CSRS,08
UBS,Buy,95,1.06,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,965,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1770,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1770,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1500,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,2075,0.63,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1745,4.95,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,5390,0.65,03/20/11,0000741375,N-CSRS,08
Lehman Brothers,Sell,9285,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,1955,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,1400,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,6500,0.2,12/20/11,0000741375,N-CSRS,08
Merrill Lynch,Buy,2465,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,1390,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,920,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,2215,0.92,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,1745,5,3/20/13,0000741375,N-CSRS,08
UBS,Buy,3330,0.5,3/20/13,0000741375,N-CSRS,08
UBS,Buy,3495,0.6,3/20/18,0000741375,N-CSRS,08
UBS,Buy,4880,0.3,3/20/13,0000741375,N-CSRS,08
UBS,Buy,2740,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,2740,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,2120,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,1065,1.01,3/20/13,0000741375,N-CSRS,08
UBS,Buy,3110,1.06,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,915,2.32,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1150,2.37,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1195,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,1000,0.8,3/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Buy,240,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,740,2.3,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,460,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,460,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,380,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,505,0.63,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1000,0.65,3/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Buy,415,4.95,3/20/13,0000741375,N-CSRS,08
Lehman Brothers,Buy,1150,0.18,7/25/45,0000741375,N-CSRS,08
Lehman Brothers,Buy,160,1.04,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,2140,1.4,3/20/13,0000741375,N-CSRS,08
Lehman Brothers,Buy,1305,0.64,3/20/13,0000741375,N-CSRS,08
Lehman Brothers,Sell,6138,3.75,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,475,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,340,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,830,2.15,3/20/13,0000741375,N-CSRS,08
Merrill Lynch,Buy,840,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,710,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,465,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Sell,2615,1.4,12/20/12,0000741375,N-CSRS,08
Merrill Lynch,Buy,530,0.92,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,1395,1.25,3/20/13,0000741375,N-CSRS,08
Merrill Lynch,Buy,415,5,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,965,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1770,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1770,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1500,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,2075,0.63,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1745,4.95,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,5390,0.65,03/20/11,0000741375,N-CSRS,08
Lehman Brothers,Sell,9285,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,1955,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,1400,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,6500,0.2,12/20/11,0000741375,N-CSRS,08
Merrill Lynch,Buy,2465,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,1390,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,920,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,2215,0.92,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,1745,5,3/20/13,0000741375,N-CSRS,08
UBS,Buy,3330,0.5,3/20/13,0000741375,N-CSRS,08
UBS,Buy,3495,0.6,3/20/18,0000741375,N-CSRS,08
UBS,Buy,4880,0.3,3/20/13,0000741375,N-CSRS,08
UBS,Buy,2740,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,2740,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,2120,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,1065,1.01,3/20/13,0000741375,N-CSRS,08
UBS,Buy,3110,1.06,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,2215,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,1425,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,2200,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,700,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,2200,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,1785,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,7950,1.19,03/20/12,0000741375,N-CSRS,08
Bank of America,Buy,2475,1.25,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,1560,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,330,1.57,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,440,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,280,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,500,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,150,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,430,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,355,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,610,1.18,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,310,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,545,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,440,0.72,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,1600,0.43,3/20/12,0000741375,N-CSRS,08
Credit Suisse,Buy,715,1,3/20/15,0000741375,N-CSRS,08
Goldman Sachs,Buy,560,3.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,1175,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,1300,0.22,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,625,0.6,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,1220,0.8,12/20/17,0000741375,N-CSRS,08
Goldman Sachs,Buy,305,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,245,0.33,3/20/13,0000741375,N-CSRS,08
