NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"    600,000",3/20/16,Goldman Sachs & Co.,Sell***,0.250%,French Republic (PIMCO Rating: AAA)**,"12,375","(22,592","(10,217",0000067160,N-Q,12
"100,000",3/20/16,Goldman Sachs & Co.,Sell***,1.000%,General Electric Capital Corp. (PIMCO Rating: AA+)**,"1,316","(1,685",(369,0000067160,N-Q,12
"300,000",9/20/16,Goldman Sachs & Co.,Sell***,1.000%,United Mexican States (PIMCO Rating: BAA+)**,"3,119","(1,414","1,705",0000067160,N-Q,12
"1,000,000",9/20/16,Goldman Sachs & Co.,Sell***,0.250%,French Republic (PIMCO Rating: AAA)**,"26,240","(50,737","(24,497",0000067160,N-Q,12
"1,000,000",12/20/16,Goldman Sachs & Co.,Sell***,0.250%,French Republic (PIMCO Rating: AAA)**,"45,694","(74,755","(29,061",0000067160,N-Q,12
"100,000",6/20/17,Goldman Sachs & Co.,Sell***,5.000%,"NRG Energy, Inc. (PIMCO Rating: BA-)**","14,502","(10,000","4,502",0000067160,N-Q,12
"600,000",6/20/17,Goldman Sachs & Co.,Sell***,1.000%,United Mexican States (PIMCO Rating: BAA+)**,"3,421","(2,647",774,0000067160,N-Q,12
"200,000",6/20/17,Goldman Sachs & Co.,Sell***,1.000%,South Korea Government (PIMCO Rating: AA-)**,"4,028","(2,327","1,701",0000067160,N-Q,12
"200,000",6/20/16,JP Morgan Chase Bank,Sell***,1.000%,Republic of Indonesia (PIMCO Rating: BAA-)**,"3,125","(3,708",(583,0000067160,N-Q,12
"300,000",9/20/16,JP Morgan Chase Bank,Sell***,1.000%,People s Republic of China (PIMCO Rating: AA-)**,"2,247","1,632","3,879",0000067160,N-Q,12
"100,000",9/20/16,JP Morgan Chase Bank,Sell***,1.000%,Federative Republic of Brazil (PIMCO Rating: BAA)**,974,(609,365,0000067160,N-Q,12
"700,000",6/20/17,JP Morgan Chase Bank,Sell***,1.000%,Japan Government (PIMCO Rating: AA-)**,"7,784","(1,215","6,569",0000067160,N-Q,12
"300,000",6/20/17,JP Morgan Chase Bank,Sell***,1.000%,Republic of Indonesia (PIMCO Rating: BAA-)**,"3,289","(8,966","(5,677",0000067160,N-Q,12
"1,500,000",6/20/17,JP Morgan Chase Bank,Sell***,1.000%,Federative Republic of Brazil (PIMCO Rating: BAA)**,"14,181","(18,588","(4,407",0000067160,N-Q,12
"800,000",6/20/17,JP Morgan Chase Bank,Sell***,1.000%,People s Republic of China (PIMCO Rating: AA-)**,"10,211","(4,176","6,035",0000067160,N-Q,12
"600,000",3/20/16,Royal Bank of Scotland PLC,Sell***,1.000%,Japan Government (PIMCO Rating: AA-)**,"2,339","6,663","9,002",0000067160,N-Q,12
"1,300,000",3/20/16,Royal Bank of Scotland PLC,Sell***,0.250%,French Republic (PIMCO Rating: AAA)**,"17,881","(40,018","(22,137",0000067160,N-Q,12
"700,000",9/20/16,UBS AG,Sell***,1.000%,People s Republic of China (PIMCO Rating: AA-)**,"5,417","3,634","9,051",0000067160,N-Q,12
"1,000,000",9/20/16,UBS AG,Sell***,1.000%,United Mexican States (PIMCO Rating: BAA+)**,"10,074","(4,388","5,686",0000067160,N-Q,12
"100,000",9/20/16,UBS AG,Sell***,1.000%,Republic of Indonesia (PIMCO Rating: BAA-)**,"1,287","(1,578",(291,0000067160,N-Q,12
"1,200,000",6/20/17,UBS AG,Sell***,1.000%,South Korea Government (PIMCO Rating: AA-)**,"22,096","(11,885","10,211",0000067160,N-Q,12
"300,000",6/20/17,UBS AG,Sell***,1.000%,Republic of Indonesia (PIMCO Rating: BAA-)**,"3,571","(9,248","(5,677",0000067160,N-Q,12
"100,000",9/20/17,UBS AG,Sell***,1.000%,People s Republic of China (PIMCO Rating: AA-)**,"1,943","(1,375",568,0000067160,N-Q,12
"10,500,000",6/20/17,Buy,(1.000)%,CDX.IG.18 ,"7,051","(52,641","(45,590",,0000067160,N-Q,12
