Reference Entity,Counterparty,Buy/Sell Credit Protection,Notional Amount(000 s),Receive Fixed Rate,Payment Termination Date,CIK,Reporting Type,Report Year
Development Bank of Kazakhstan JSC,Credit Suisse International,Sell,11730,3.75,2/20/13,0000850134,N-CSRS,10
Federative Republic of Brazil,Credit Suisse International,Sell,5050,1.0,3/20/15,0000850134,N-CSRS,10
Government of Hungary,Credit Suisse International,Sell,9600,2.7,9/20/10,0000850134,N-CSRS,10
International Lease Finance Corp.:,Barclays Bank plc,Sell,7310,5.0,3/20/15,0000850134,N-CSRS,10
International Lease Finance Corp.:,Goldman Sachs International,Sell,6220,5.0,3/20/15,0000850134,N-CSRS,10
Islamic Republic of Pakistan,"Citibank NA, New York",Sell,5090,5.1,3/20/13,0000850134,N-CSRS,10
Istanbul Bond Co. SA for Finansbank AS,Morgan Stanley & Co. International Ltd.,Sell,15590,1.3,3/24/13,0000850134,N-CSRS,10
Republic of Indonesia:,"Citibank NA, New York",Sell,4800,1.0,3/20/15,0000850134,N-CSRS,10
Republic of Indonesia:,"JPMorgan Chase Bank NA,
London Branch",Sell,4800,1.0,3/20/15,0000850134,N-CSRS,10
Republic of Peru,Deutsche Bank AG,Buy,7680,1.71,12/20/16,0000850134,N-CSRS,10
Republic of the Philippines:,Barclays Bank plc,Buy,6390,1.76,12/20/14,0000850134,N-CSRS,10
Republic of the Philippines:,"JPMorgan Chase Bank NA,
London Branch",Buy,9590,1.74,12/20/14,0000850134,N-CSRS,10
The Dow Chemical Co.,UBS AG,Sell,13380,1.0,3/20/15,0000850134,N-CSRS,10
Troy Capital SA for Yasar Holdings SA,"Morgan Stanley &
Co. International Ltd.",Sell,3530,8.75,6/20/10,0000850134,N-CSRS,10
