SWAP COUNTERPARTY &REFERENCE OBLIGATION,BUY/SELL PROTECTION,NOTIONAL AMOUNT(000 S),INTEREST RATE,TERMINATION DATE,APPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"DJ CDX, N.A.",Sell,255,0.6,"December 20, 2012","(4,721",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,125,0.6,"December 20, 2012","(1,967",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,125,0.6,"December 20, 2012","(1,148",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,455,0.6,"December 20, 2012","(1,470",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,230,0.8,"December 20, 2017",(962,0000716716,N-Q,08
Arrow Electronics,Buy,150,1.0,"March 20, 2015",789,0000716716,N-Q,08
Avalonbay Communities,Buy,110,3.05,"March 20, 2013",(845,0000716716,N-Q,08
Carnival Corp.,Buy,65,1.57,"March 20, 2018",(889,0000716716,N-Q,08
Carnival Corp.,Buy,55,1.57,"March 20, 2018",(752,0000716716,N-Q,08
Carnival Corp.,Buy,70,1.5,"March 20, 2018",(589,0000716716,N-Q,08
Carnival Corp.,Buy,60,1.6,"March 20, 2018",(774,0000716716,N-Q,08
Chubb Corp.,Buy,350,0.1,"March 20, 2012","6,341",0000716716,N-Q,08
