Counterparty,Referenced Obligation,Protection (1),Fixed Rate,Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
Credit Suisse,Freescale Semiconductor Inc 6.875% due 07/15/11,Sell,0.6,03/20/08,"$485,000","$2,326",0000813900,N-CSR,08
Credit Suisse,Freescale Semiconductor Inc 6.875% due 07/15/11,Sell,0.75,03/20/08,510000,2277,0000813900,N-CSR,08
Credit Suisse,Univision Communications Inc 7.850% due 07/15/11,Sell,0.75,03/20/08,235000,1203,0000813900,N-CSR,08
Credit Suisse,Rite Aid Corp 7.700% due 02/15/27,Sell,0.875,06/20/08,805000,"(15,581",0000813900,N-CSR,08
Morgan Stanley,Tribune Co 5.250% due 08/15/15,Sell,1.0,06/20/08,480000,27403,0000813900,N-CSR,08
Deutsche Bank,Merrill Lynch & Co Inc 5.000% due 01/15/15,Sell,1.85,06/20/08,240000,332,0000813900,N-CSR,08
Goldman Sachs,Merrill Lynch & Co Inc 5.000% due 01/15/15,Sell,1.85,06/20/08,545000,754,0000813900,N-CSR,08
Morgan Stanley,K. Hovnanian Enterprises 6.500% due 01/15/14,Sell,1.85,06/20/08,510000,"(34,380",0000813900,N-CSR,08
Barclays,Beazer Homes 6.500% due 11/15/13,Sell,2.1,06/20/08,295000,"(23,654",0000813900,N-CSR,08
Morgan Stanley,Beazer Homes 6.500% due 11/15/13,Sell,2.15,06/20/08,520000,"(41,586",0000813900,N-CSR,08
Lehman Brothers,Residential Capital LLC 8.000% due 04/17/13,Sell,5.0,06/20/08,410000,3068,0000813900,N-CSR,08
