Counterparty,Referenced Obligation,Protection (1),Fixed Rate,Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
HSBC,Russian Federation 7.500% due 03/31/30 6,Sell,0.24,02/20/08,"$5,000,000","($1,742",0000813900,N-CSR,08
Citigroup,The Goldman Sachs Group Inc 6.600% due 01/15/12 6,Sell,0.11,06/20/08,8800000,"(26,833",0000813900,N-CSR,08
Barclays,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,1.4,09/20/08,4600000,"(205,015",0000813900,N-CSR,08
Goldman Sachs,Ford Motor Credit Corp 7.000% due 10/01/13 6,Sell,1.4,09/20/08,11500000,"(389,268",0000813900,N-CSR,08
Lehman Brothers,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,1.425,09/20/08,6700000,"(297,489",0000813900,N-CSR,08
Deutsche Bank,General Motors Acceptance Corp 6.875% due 08/28/12 6,Buy,(4.250,09/20/08,1100000,28062,0000813900,N-CSR,08
Goldman Sachs,General Motors Acceptance Corp 6.875% due 08/28/12 6,Buy,(5.050,09/20/08,100000,2016,0000813900,N-CSR,08
Deutsche Bank,General Motors Acceptance Corp 6.875% due 08/28/12 6,Buy,(5.150,09/20/08,6200000,120859,0000813900,N-CSR,08
Barclays,Vnesheconom Bank 0.000% due 07/12/09 6,Sell,0.65,11/20/08,2600000,"(24,683",0000813900,N-CSR,08
Credit Suisse,Gazprom Capital 8.625% due 04/28/34 6,Sell,1,11/20/08,3700000,"(10,411",0000813900,N-CSR,08
Barclays,Republic of Panama 8.875% due 09/30/27 6,Sell,0.3,12/20/08,6800000,"(10,613",0000813900,N-CSR,08
Morgan Stanley,Republic of Panama 8.875% due 09/30/27 6,Sell,0.3,12/20/08,2300000,"(3,590",0000813900,N-CSR,08
Deutsche Bank,Russian Federation 7.500% due 03/31/30 6,Sell,0.325,12/20/08,4500000,"(11,182",0000813900,N-CSR,08
Barclays,Russian Federation 7.500% due 03/31/30 6,Sell,0.33,12/20/08,4600000,"(11,209",0000813900,N-CSR,08
Barclays,Republic of Peru 8.750% due 11/21/33 6,Sell,0.35,12/20/08,4600000,"(4,851",0000813900,N-CSR,08
Lehman Brothers,Republic of Peru 9.125% due 02/21/12 6,Sell,0.37,12/20/08,4500000,"(3,880",0000813900,N-CSR,08
Deutsche Bank,Republic of Indonesia 6.750% due 03/10/14 6,Sell,0.51,12/20/08,9400000,"(25,939",0000813900,N-CSR,08
Barclays,Ukraine Government Bond 7.650% due 06/11/13 6,Sell,0.78,12/20/08,4600000,"(12,482",0000813900,N-CSR,08
Deutsche Bank,Ukraine Government Bond 7.650% due 06/11/13 6,Sell,0.79,12/20/08,4500000,"(11,780",0000813900,N-CSR,08
