NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
4020000,6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.",88556,-,88556,0000927972,N-CSRS,11
1444564,7/25/45,Credit Suisse Securities LLC,Buy,(0.180,ABX.HE.AAA.06-1,"(18,642",148075,129433,0000927972,N-CSRS,11
17000000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(1,232,350",1643750,411400,0000927972,N-CSRS,11
5000000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(379,000",500000,121000,0000927972,N-CSRS,11
2500000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(102,000",162500,60500,0000927972,N-CSRS,11
4175000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(97,278",198313,101035,0000927972,N-CSRS,11
5100000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(184,705",308125,123420,0000927972,N-CSRS,11
4825000,10/12/52,Goldman Sachs & Co.,Buy,(0.500,CMBX.NA.AM.1,"(148,610",349813,201203,0000927972,N-CSRS,11
4825000,10/12/52,Goldman Sachs & Co.,Buy,(0.500,CMBX.NA.AM.1,"(148,610",349813,201203,0000927972,N-CSRS,11
9650000,10/12/52,Goldman Sachs & Co.,Buy,(0.500,CMBX.NA.AM.1,"(297,220",699625,402405,0000927972,N-CSRS,11
1625000,6/20/16,JP Morgan Chase Bank ,Buy,(1.000,Kingdom of Spain,"(3,789",103155,99366,0000927972,N-CSRS,11
3000000,6/20/16,JP Morgan Chase Bank ,Buy,(1.000,Kingdom of Spain,4296,179147,183443,0000927972,N-CSRS,11
