NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
180000,6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.",3965,            -,3965,0000927972,N-CSRS,11
50560,7/25/45,Credit Suisse Securities LLC,Buy,(0.180,ABX.HE.AAA.06-1,(652,5182,4530,0000927972,N-CSRS,11
646000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(46,829",62462,15633,0000927972,N-CSRS,11
190000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(14,402",19000,4598,0000927972,N-CSRS,11
75000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(3,060",4875,1815,0000927972,N-CSRS,11
125000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(2,913",5938,3025,0000927972,N-CSRS,11
175000,10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(6,338",10573,4235,0000927972,N-CSRS,11
175000,10/12/52,Goldman Sachs & Co.,Buy,(0.500,CMBX.NA.AM.1,"(5,390",12687,7297,0000927972,N-CSRS,11
175000,10/12/52,Goldman Sachs & Co.,Buy,(0.500,CMBX.NA.AM.1,"(5,390",12687,7297,0000927972,N-CSRS,11
335000,10/12/52,Goldman Sachs & Co.,Buy,(0.500,CMBX.NA.AM.1,"(10,318",24288,13970,0000927972,N-CSRS,11
65000,6/20/16,JP Morgan Chase Bank ,Buy,(1.000,Kingdom of Spain,(152,4126,3974,0000927972,N-CSRS,11
125000,6/20/16,JP Morgan Chase Bank ,Buy,(1.000,Kingdom of Spain,179,7465,7644,0000927972,N-CSRS,11
