Counterparty,Reference Entity,Buy/SellProtection+,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalAmount,UnrealizedAppreciation,CIK,Reporting Type,Report Year
Deutsche Bank AG,SOFTBANK Corp.,Sell,2.3,09/20/2007,JPY,"54,000",0001047304,N-Q,06
"Bear Stearns & Co., Inc.",General Motors,Sell,2.1,12/20/2006,"2,600",11,0001047304,N-Q,06
"Bear Stearns & Co., Inc.",Ford Motor Credit Co.,Sell,4.65,06/20/2007,400,9,0001047304,N-Q,06
"Bear Stearns & Co., Inc.",Ford Motor Credit Co.,Sell,4.7,06/20/2007,300,,0001047304,N-Q,06
Citibank N.A.,Ford Motor Credit Co.,Sell,2.445,12/20/2006,100,0,0001047304,N-Q,06
Goldman Sachs & Co.,Ford Motor Credit Co.,Sell,2.4,12/20/2006,200,,0001047304,N-Q,06
Goldman Sachs & Co.,Ford Motor Credit Co.,Sell,4.5,06/20/2007,200,,0001047304,N-Q,06
JPMorgan Chase & Co.,Ford Motor Credit Co.,Sell,2.0,03/20/2007,200,,0001047304,N-Q,06
JPMorgan Chase & Co.,Russia Government,Sell,0.69,03/20/2007,"1,200",,0001047304,N-Q,06
Morgan Stanley,Ford Motor Credit Co.,Sell,4.7,12/20/2006,"1,000",11,0001047304,N-Q,06
Morgan Stanley,Russia Government,Sell,0.46,06/20/2007,200,,0001047304,N-Q,06
