"
Notional Amount","
Expiration Date","
Counterparty","
Receive(Pay)","
FixedRate","
Variable Rate","
MarketValue",CIK,Reporting Type,Report Year
"
10,000,000","
9/20/2009","
JP MorganChase Bank","
(Pay)",0.97,"
Gazprom OAO","
12,968",0000772129,N-CSRS,08
"
100,000,000","
9/20/2009","
Morgan Stanley","
(Pay)",0.78,"
Government of Ukraine","
1,029,186",0000772129,N-CSRS,08
"
849,572,575","
11/5/2009","
Deutsche Bank AG","
Receive",1.45,"
Russia Post Office","
(414,927",0000772129,N-CSRS,08
"
10,000,000","
11/20/2009","
JP Morgan Chase Bank","
(Pay)",0.9,"
United Mexican States","
(79,387",0000772129,N-CSRS,08
"
10,000,000","
11/20/2009","
JP Morgan Chase Bank","
(Pay)",0.88,"
United Mexican States","
(76,409",0000772129,N-CSRS,08
"
25,000,000","
12/29/2009","
Deutsche Bank AG","
Receive",2.25,"
Videocon Loan Facility","
(1,205,123",0000772129,N-CSRS,08
"
7,000,000","
2/5/2010","
Deutsche Bank AG","
Receive",4.85,"
Government of Ukraine","
191,866",0000772129,N-CSRS,08
"
12,000,000","
3/5/2010","
Deutsche Bank AG","
Receive",9.1,"
Republic of Turkey","
1,928,840",0000772129,N-CSRS,08
"
3,000,000","
3/29/2010","
JP Morgan Chase Bank","
Receive",4.7,"
Arab Republic of Egypt","
183,761",0000772129,N-CSRS,08
"
85,000,000","
6/20/2010","
Deutsche Bank AG","
(Pay)",2.1,"
Reference security within CDX Index","
(1,690,083",0000772129,N-CSRS,08
"
36,000,000","
6/20/2010","
Lehman Brothers","
(Pay)",2.1,"
Reference security within CDX Index","
(715,800",0000772129,N-CSRS,08
"
12,000,000","
6/20/2010","
JP Morgan Chase Bank","
(Pay)",4.0,"
Republic of Argentina","
556,128",0000772129,N-CSRS,08
"
12,000,000","
6/20/2010","
JP Morgan Chase Bank","
(Pay)",3.87,"
Republic of Argentina","
584,546",0000772129,N-CSRS,08
"
150,000,000","
6/20/2010","
Deutsche Bank AG","
(Pay)",1.47,"
Republic of Brazil","
(2,476,557",0000772129,N-CSRS,08
"
50,000,000","
6/20/2010","
Lehman Brothers","
(Pay)",0.42,"
United States of Mexico","
97,936",0000772129,N-CSRS,08
"
10,000,000","
7/20/2010","
Deutsche Bank AG","
(Pay)",3.77,"
Republic of Argentina","
567,162",0000772129,N-CSRS,08
"
6,000,000","
7/20/2010","
Deutsche Bank AG","
(Pay)",3.8,"
Republic of Argentina","
337,056",0000772129,N-CSRS,08
"
140,000,000","
7/20/2010","
UBS AG","
(Pay)",0.89,"
Republic of Turkey","
1,209,899",0000772129,N-CSRS,08
"
5,000,000","
7/23/2010","
Deutsche Bank AG","
Receive",4.56,"
Government of Ukraine","
125,861",0000772129,N-CSRS,08
