Underlying Instrument,Counterparty,Amount ($),Rate (%),Date,Value ($),CIK,Reporting Type,Report Year
"

Dow Jones CDS Indices; Series 7
    
",Citibank N.A.,"7,415",0.59,03/20/17,(36,0000883939,N-CSR,07
"

Dow Jones CDS Indices; Series 7
    
",Citibank N.A.,740,0.59,03/20/17,(5,0000883939,N-CSR,07
"

Brunswick Corp.
    
",Merrill Lynch,(740,1.15,03/20/17,(5,0000883939,N-CSR,07
"

Campbell Soup Co.
    
",Citibank N.A.,(740,0.33,12/20/17,(4,0000883939,N-CSR,07
"

Cardinal Health, Inc. CDS
    
",Merrill Lynch,(740,0.53,03/20/17,,0000883939,N-CSR,07
"

H.J. Heinz Co.
    
",Citibank N.A.,(740,0.74,03/20/17,(9,0000883939,N-CSR,07
"

IStar Financial, Inc.
    
",Citibank N.A.,(740,0.7,12/20/17,,0000883939,N-CSR,07
"

Lennar Corp.
    
",Citibank N.A.,(740,1.02,12/20/17,28,0000883939,N-CSR,07
"

Nordstrom, Inc.
    
",Citibank N.A.,(740,0.45,03/20/17,(6,0000883939,N-CSR,07
"

Nucor Corp.
    
",Citibank N.A.,(740,0.42,03/20/17,(9,0000883939,N-CSR,07
"

Quest Diagnostics, Inc.
    
",Merrill Lynch,(740,0.78,12/20/17,,0000883939,N-CSR,07
"

Sprint Nextel Corp.
    
",Citibank N.A.,(740,1.18,03/20/17,(6,0000883939,N-CSR,07
"

Weyerhaeuser Co.
    
",Citibank N.A.,(740,1.05,12/20/11,(4,0000883939,N-CSR,07
