Counterparty,ExpirationDate,NotionalAmount,Swap Details,UnrealizedAppreciation/(Depreciation),ImpliedCreditSpread*,CIK,Reporting Type,Report Year
UBS AG,12/20/2016,"4,320,000",Pay: Grohe Holding Gmbh(T),"800,426",0.3,0000863903,N-Q,14
Deutsche Bank,12/20/2016,"4,320,000",Pay: Grohe Holding Gmbh(T),"1,462,720",0.3,0000863903,N-Q,14
Goldman Sachs International,12/20/2017,"8,440,000",Pay: Chesapeake Energy(T),"1,141,349",1.44,0000863903,N-Q,14
Goldman Sachs International,12/20/2017,"9,935,000",Pay: Chesapeake Energy(T),"2,014,131",1.44,0000863903,N-Q,14
Goldman Sachs International,12/20/2017,"9,940,000",Pay: Chesapeake Energy(T),"2,015,145",1.44,0000863903,N-Q,14
Deutsche Bank,03/20/2018,"3,460,000",Pay: Rite Aid(T),"527,823",2.03,0000863903,N-Q,14
Goldman Sachs International,03/20/2018,"5,000,000",Pay: Rite Aid(T),"762,751",2.03,0000863903,N-Q,14
Goldman Sachs International,03/20/2018,"5,000,000",Pay: Rite Aid(T),"775,251",2.03,0000863903,N-Q,14
Morgan Stanley,06/20/2018,"4,500,000",Pay: New Albertsons(T),"92,890",6.83,0000863903,N-Q,14
Morgan Stanley,06/20/2018,"4,515,000",Pay: New Albertsons(T),"104,487",6.83,0000863903,N-Q,14
