Counterparty,TerminationDate,NotionalAmount(000),FixedRate,UnderlyingBond,UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
Morgan Stanley & Co.(a),12/20/2008,200000,0.26,"Allstate Corp,,6.125%, 02/15/12",(864,0001067442,N-CSRS,06
UBS AG(a),12/20/2008,200000,0.35,"AutoZone, Inc.,5.875%, 10/15/12",141,0001067442,N-CSRS,06
Bear Sterns International Ltd.(a),7/25/2045,"2,200000",0.54,Dow Jones CDX IG4 Index,,0001067442,N-CSRS,06
Bank of America Securities LLC(b),6/20/2010,600000,0.4,Dow Jones CDX IG4 Index,"(2,109",0001067442,N-CSRS,06
Barclays Bank PLC(a),6/20/2010,400000,0.4,Dow Jones CDX IG4 Index,"(1,406",0001067442,N-CSRS,06
Bear Sterns International Ltd.(b),6/20/2010,"1,800000",0.4,Dow Jones CDX IG4 Index,"(6,326",0001067442,N-CSRS,06
Bank of America Securities LLC(a),12/20/2008,100000,0.13,"E.I. DuPont,6.875%, 10/15/09",12,0001067442,N-CSRS,06
Citigroup(a),12/20/2008,100000,0.28,"Eaton Corp.,5.75%, 7/15/12",(400,0001067442,N-CSRS,06
Barclays Bank PLC(a),12/20/2008,200000,0.16,"Eli Lilly & Co.,6.00%, 3/15/12",(717,0001067442,N-CSRS,06
Morgan Stanley & Co.(a),12/20/2008,100000,0.21,"Emerson Electric Co.,6.48%, 10/15/12",(264,0001067442,N-CSRS,06
Citigroup(a),12/20/2008,100000,0.29,"FedEx Corp.,7.25%, 2/15/11",(469,0001067442,N-CSRS,06
Lehman Brothers(a),12/20/2008,100000,0.97,"Goodrich Corp.,7.625%, 12/15/12","(1,902",0001067442,N-CSRS,06
Bear Sterns International Ltd.(a),12/20/2008,100000,0.32,"Hewlett Packard Co.,6.50% 7/1/12",(471,0001067442,N-CSRS,06
Lehman Brothers(a),12/20/2008,100000,0.12,"Home Depot, Inc.5.375%, 4/1/06",(114,0001067442,N-CSRS,06
Merrill Lynch & Co.(a),12/20/2008,100000,0.32,"Ingersoll-Rand Co.,6.48%, 6/1/25",(155,0001067442,N-CSRS,06
Lehman Brothers(a),12/20/2008,100000,0.11,"Johnson & Johnson,3.80%, 5/15/13",(222,0001067442,N-CSRS,06
Lehman Brothers(a),12/20/2008,100000,0.53,"Lockheed Martin Corp.,8.20%, 12/1/09","(1,176",0001067442,N-CSRS,06
Lehman Brothers(a),12/20/2008,100000,0.3,"Masco Corp.,5.875%, 7/15/12",196,0001067442,N-CSRS,06
Lehman Brothers(a),12/20/2008,100000,0.48,"Northrop & Grumman Corp.,7.125%, 2/15/11","(1,084",0001067442,N-CSRS,06
Lehman Brothers(a),6/20/2009,500000,0.4,"People-s Republic of China,6.80%, 5/23/11","(4,186",0001067442,N-CSRS,06
