NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"1,500,000",6/20/15,Barclays Bank PLC,Sell ,5.000%,CDX.EM.13 (PIMCO Rating: BA+)**,"(76,558","165,700","89,142",0000916053,N-Q,11
"1,000,000",6/20/15,Barclays Bank PLC,Sell ,5.000%,CDX.EM.13 (PIMCO Rating: BA+)**,"(53,572","113,000","59,428",0000916053,N-Q,11
"14,200,000",12/20/15,Barclays Bank PLC,Sell ,5.000%,CDX.EM.14 (PIMCO Rating: BA+)**,"(922,957","1,817,600","894,643",0000916053,N-Q,11
"6,900,000",3/20/16,Barclays Bank PLC,Sell ,1.000%,People s Republic of China (PIMCO Rating: AA-)**,"(281,616","83,717","(197,899",0000916053,N-Q,11
"1,000,000",3/20/16,Barclays Bank PLC,Sell ,1.000%,People s Republic of China (PIMCO Rating: AA-)**,"(40,631","11,950","(28,681",0000916053,N-Q,11
"10,600,000",3/20/16,Barclays Bank PLC,Sell ,1.000%,United Mexican States (PIMCO Rating: BAA+)**,"(308,180","(51,149","(359,329",0000916053,N-Q,11
"20,700,000",3/20/16,Barclays Bank PLC,Sell ,1.000%,Federative Republic of Brazil (PIMCO Rating: BAA)**,"(594,629","(90,235","(684,864",0000916053,N-Q,11
"800,000",3/20/16,Barclays Bank PLC,Sell ,1.000%,Republic of Italy (PIMCO Rating: A)**,"(75,528","(31,136","(106,664",0000916053,N-Q,11
"900,000",6/20/16,Barclays Bank PLC,Sell ,5.000%,CDX.EM.15 (PIMCO Rating: BA+)**,"(33,378","95,400","62,022",0000916053,N-Q,11
"11,600,000",6/20/16,Barclays Bank PLC,Sell ,1.000%,People s Republic of China (PIMCO Rating: AA-)**,"(517,762","150,653","(367,109",0000916053,N-Q,11
"500,000",9/20/16,Barclays Bank PLC,Sell ,0.250%,French Republic (PIMCO Rating: AAA)**,"(4,020","(30,572","(34,592",0000916053,N-Q,11
"80,900,000",6/20/16,Credit Suisse Securities LLC,Sell ,1.000%,CDX.NA.IG.16 (PIMCO Rating: BAA+)**,"(858,356","(326,186","(1,184,542",0000916053,N-Q,11
"6,100,000",6/20/16,Credit Suisse Securities LLC,Sell ,1.000%,Federative Republic of Brazil (PIMCO Rating: BAA)**,"(215,410","(8,878","(224,288",0000916053,N-Q,11
"1,000,000",12/20/15,Goldman Sachs & Co.,Sell ,1.000%,United Kingdom of Great Britain and Northern Ireland (PIMCO Rating: AAA)**,"(15,396","23,015","7,619",0000916053,N-Q,11
"1,000,000",12/20/15,Goldman Sachs & Co.,Sell ,1.000%,United Kingdom of Great Britain and Northern Ireland (PIMCO Rating: AAA)**,"(15,575","23,194","7,619",0000916053,N-Q,11
"7,700,000",12/20/15,Goldman Sachs & Co.,Sell ,1.000%,United Mexican States (PIMCO Rating: BAA+)**,"(28,917","(207,341","(236,258",0000916053,N-Q,11
"4,300,000",3/20/16,Goldman Sachs & Co.,Sell ,1.000%,United Mexican States (PIMCO Rating: BAA+)**,"(13,000","(132,765","(145,765",0000916053,N-Q,11
"13,800,000",3/20/16,Goldman Sachs & Co.,Sell ,1.000%,Republic of Italy (PIMCO Rating: A)**,"49,426","(1,889,385","(1,839,959",0000916053,N-Q,11
"13,000,000",3/20/16,Goldman Sachs & Co.,Sell ,0.250%,French Republic (PIMCO Rating: AAA)**,"23,857","(803,491","(779,634",0000916053,N-Q,11
"5,200,000",3/20/16,Goldman Sachs & Co.,Sell ,0.250%,French Republic (PIMCO Rating: AAA)**,"(116,052","(195,802","(311,854",0000916053,N-Q,11
"200,000",3/20/16,Goldman Sachs & Co.,Sell ,1.000%,Republic of Italy (PIMCO Rating: A)**,"(18,972","(7,694","(26,666",0000916053,N-Q,11
"400,000",3/20/16,Goldman Sachs & Co.,Sell ,1.000%,Kingdom of Spain (PIMCO Rating: AA)**,"(15,063","(26,582","(41,645",0000916053,N-Q,11
"2,600,000",3/20/16,Goldman Sachs & Co.,Sell ,1.000%,Republic of Italy (PIMCO Rating: A)**,"(252,435","(94,224","(346,659",0000916053,N-Q,11
"3,000,000",3/20/16,Goldman Sachs & Co.,Sell ,1.000%,Kingdom of Spain (PIMCO Rating: AA)**,"(130,125","(182,214","(312,339",0000916053,N-Q,11
"1,600,000",6/20/16,Goldman Sachs & Co.,Sell ,1.000%,Japan Government (PIMCO Rating: AA-)**,"(45,262","16,292","(28,970",0000916053,N-Q,11
"1,000,000",6/20/16,Goldman Sachs & Co.,Sell ,1.000%,Kingdom of Spain (PIMCO Rating: AA)**,"(48,984","(60,347","(109,331",0000916053,N-Q,11
