Swap Counterparty and Reference Obligation,Buy/Sell Protection,Notional Amount,Pay/Receive Fixed Rate,Termination Date,CIK,Reporting Type,Report Year
"The Gap, Inc., 8.80%, 12/15/08",Buy,220,1.19,3/20/12,0000741375,N-Q,08
"Tyco International Ltd., Zero Coupon,
  11/17/20",Buy,430,0.43,3/20/12,0000741375,N-Q,08
"Tyco International Ltd., Zero Coupon,
  11/17/20",Buy,225,0.43,3/20/12,0000741375,N-Q,08
"Dell, Inc., 7.10%, 4/15/28",Buy,185,0.22,3/20/12,0000741375,N-Q,08
"Dow Jones CDX North America Investment
  Grade High Volatility Index, Series 7",Buy,"1,450",0.75,12/20/11,0000741375,N-Q,08
"Motorola, Inc., 6.50%, 9/1/25",Buy,120,0.15,12/20/11,0000741375,N-Q,08
"Motorola, Inc., 6.50%, 9/1/25",Buy,250,0.16,12/20/11,0000741375,N-Q,08
"The Chubb Corp., 6.00%, 11/15/11",Buy,370,0.1,3/20/12,0000741375,N-Q,08
"The Hartford Financial Services
  Group, Inc., 4.75%, 3/1/14",Buy,350,0.12,12/20/11,0000741375,N-Q,08
"Union Pacific Corp., 6.13%, 1/15/12",Buy,175,0.2,12/20/11,0000741375,N-Q,08
